State_UT,State_UT_Code,Fiscal Year,Estimate,Per Capita Expenditure on Health Sector ,Total Health Sector Expenditure,Total Health Sector Expenditure as % of State Budget,Revenue Expenditure as % of Total Health Sector Expenditure,Capital Expenditure (including Loans & Advances ) as % of Total Health Sector Expenditure,,,,,,,,,,,,
Jharkhand,10,2017-18,Actuals,779,2844,4.2,89.7,10.3,,,,,,,,,,,,
Jharkhand,10,2018-19,Budget Estimates,1034,3830,4.8,91.4,8.6,,,,,,,,,,,,
Jharkhand,10,2018-19,Revised Estimates,1083,4013,5.0,88.3,11.7,,,,,,,,,,,,
Jharkhand,10,2018-19,Actuals,911,3375,5.2,91.9,8.1,,,,,,,,,,,,
Jharkhand,10,2019-20,Budget Estimates,1105,4151,4.9,85.5,14.5,,,,,,,,,,,,
Jharkhand,10,2019-20,Revised Estimates,973,3656,4.3,87.1,12.9,,,,,,,,,,,,
Jharkhand,10,2019-20,Actuals,836,3143,4.4,88.9,11.1,,,,,,,,,,,,
Jharkhand,10,2020-21,Budget Estimates,1205,4592,5.3,93.0,7.0,,,,,,,,,,,,
Jharkhand,10,2020-21,Revised Estimates,1140,4343,5.4,93.7,6.3,,,,,,,,,,,,
Jharkhand,10,2020-21,Actuals,1069,4075,5.5,85.6,14.4,,,,,,,,,,,,
Jharkhand,10,2021-22,Budget Estimates,1152,4451,4.9,91.1,8.9,,,,,,,,,,,,
Jharkhand,10,2021-22,Revised Estimates,1357,5242,5.9,92.4,7.6,,,,,,,,,,,,
Jharkhand,10,2022-23,Budget Estimates,1449,5636,5.6,91.9,8.1,,,,,,,,,,,,
Karnataka,11,2016-17,Actuals,1069,6883,4.2,89.2,10.8,,,,,,,,,,,,
Karnataka,11,2017-18,Budget Estimates,1090,7077,4.0,89.6,10.4,,,,,,,,,,,,
Karnataka,11,2017-18,Revised Estimates,1188,7716,4.3,85.3,14.7,,,,,,,,,,,,
Karnataka,11,2017-18,Actuals,1250,8117,4.6,86.0,14.0,,,,,,,,,,,,
Karnataka,11,2018-19,Budget Estimates,1473,9644,4.7,86.8,13.2,,,,,,,,,,,,
Karnataka,11,2018-19,Revised Estimates,1506,9856,4.8,87.2,12.8,,,,,,,,,,,,
Karnataka,11,2018-19,Actuals,1448,9477,4.7,88.3,11.7,,,,,,,,,,,,
Karnataka,11,2019-20,Budget Estimates,1469,9693,4.3,89.0,11.0,,,,,,,,,,,,
Karnataka,11,2019-20,Revised Estimates,1390,9170,4.2,90.0,10.0,,,,,,,,,,,,
Karnataka,11,2019-20,Actuals,1389,9160,4.3,91.0,9.0,,,,,,,,,,,,
Karnataka,11,2020-21,Budget Estimates,1548,10296,4.5,90.5,9.5,,,,,,,,,,,,
Karnataka,11,2020-21,Revised Estimates,1797,11947,5.5,82.4,17.6,,,,,,,,,,,,
Karnataka,11,2020-21,Actuals,1785,11868,5.3,82.3,17.7,,,,,,,,,,,,
Karnataka,11,2021-22,Budget Estimates,1827,12235,5.3,91.2,8.8,,,,,,,,,,,,
Karnataka,11,2021-22,Revised Estimates,2184,14632,6.1,87.4,12.6,,,,,,,,,,,,
Karnataka,11,2022-23,Budget Estimates,2138,14368,5.7,89.6,10.4,,,,,,,,,,,,
Kerala,12,2016-17,Actuals,1733,6002,5.9,95.7,4.3,,,,,,,,,,,,
Kerala,12,2017-18,Budget Estimates,1963,6835,5.7,95.3,4.7,,,,,,,,,,,,
Kerala,12,2017-18,Revised Estimates,1957,6814,6.1,92.2,7.8,,,,,,,,,,,,
Kerala,12,2017-18,Actuals,1984,6909,6.3,93.9,6.1,,,,,,,,,,,,
Kerala,12,2018-19,Budget Estimates,2073,7255,5.7,93.8,6.2,,,,,,,,,,,,
Kerala,12,2018-19,Revised Estimates,2059,7207,5.8,93.5,6.5,,,,,,,,,,,,
Kerala,12,2018-19,Actuals,2076,7267,6.1,94.3,5.7,,,,,,,,,,,,
Kerala,12,2019-20,Budget Estimates,2057,7237,5.1,95.5,4.5,,,,,,,,,,,,
Kerala,12,2019-20,Revised Estimates,2045,7196,5.7,97.3,2.7,,,,,,,,,,,,
Kerala,12,2019-20,Actuals,2149,7561,6.6,96.8,3.2,,,,,,,,,,,,
Kerala,12,2020-21,Budget Estimates,2224,7866,5.5,96.9,3.1,,,,,,,,,,,,
Kerala,12,2020-21,Revised Estimates,2263,8005,6.2,97.1,2.9,,,,,,,,,,,,
Kerala,12,2020-21,Actuals,2521,8917,6.4,95.3,4.7,,,,,,,,,,,,
Kerala,12,2021-22,Budget Estimates,2916,10364,6.4,97.7,2.3,,,,,,,,,,,,
Kerala,12,2021-22,Revised Estimates,3409,12114,7.4,97.1,2.9,,,,,,,,,,,,
Kerala,12,2022-23,Budget Estimates,2802,9977,5.7,97.4,2.6,,,,,,,,,,,,
Madhya Pradesh,13,2016-17,Actuals,749,5932,3.9,90.5,9.5,,,,,,,,,,,,
Madhya Pradesh,13,2017-18,Budget Estimates,994,7983,4.7,85.0,15.0,,,,,,,,,,,,
Madhya Pradesh,13,2017-18,Revised Estimates,926,7437,4.5,78.8,21.2,,,,,,,,,,,,
Madhya Pradesh,13,2017-18,Actuals,927,7449,4.6,86.0,14.0,,,,,,,,,,,,
Madhya Pradesh,13,2018-19,Budget Estimates,1036,8441,4.5,83.1,16.9,,,,,,,,,,,,
Madhya Pradesh,13,2018-19,Revised Estimates,989,8060,4.5,83.7,16.3,,,,,,,,,,,,
Madhya Pradesh,13,2018-19,Actuals,950,7738,4.5,84.3,15.7,,,,,,,,,,,,
Madhya Pradesh,13,2019-20,Budget Estimates,1293,10684,5.0,87.5,12.5,,,,,,,,,,,,
Madhya Pradesh,13,2019-20,Revised Estimates,1164,9618,5.3,88.4,11.6,,,,,,,,,,,,
Madhya Pradesh,13,2019-20,Actuals,1160,9580,5.3,88.6,11.4,,,,,,,,,,,,
Madhya Pradesh,13,2020-21,Budget Estimates,1217,10194,5.5,90.4,9.6,,,,,,,,,,,,
Madhya Pradesh,13,2020-21,Revised Estimates,1138,9527,5.0,92.1,7.9,,,,,,,,,,,,
Madhya Pradesh,13,2020-21,Actuals,1157,9687,4.9,92.4,7.6,,,,,,,,,,,,
Madhya Pradesh,13,2021-22,Budget Estimates,1369,11619,5.4,84.4,15.6,,,,,,,,,,,,
Madhya Pradesh,13,2021-22,Revised Estimates,1416,12013,5.5,92.3,7.7,,,,,,,,,,,,
Madhya Pradesh,13,2022-23,Budget Estimates,1625,13903,5.6,85.6,14.4,,,,,,,,,,,,
Maharashtra,14,2016-17,Actuals,837,9967,3.9,98.9,1.1,,,,,,,,,,,,
Maharashtra,14,2017-18,Budget Estimates,917,11023,3.7,98.6,1.4,,,,,,,,,,,,
Maharashtra,14,2017-18,Revised Estimates,1123,13507,4.2,98.4,1.6,,,,,,,,,,,,
Maharashtra,14,2017-18,Actuals,956,11495,4.0,98.3,1.7,,,,,,,,,,,,
Maharashtra,14,2018-19,Budget Estimates,1030,12505,3.4,94.8,5.2,,,,,,,,,,,,
Maharashtra,14,2018-19,Revised Estimates,1237,15019,4.0,93.7,6.3,,,,,,,,,,,,
Maharashtra,14,2018-19,Actuals,994,12066,3.6,96.1,3.9,,,,,,,,,,,,
